year,programTitle,Program Code,PLU,Sum Credits,location,rawfte,fte,id,count
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,81.429,TE,0.135715,0.1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,81.429,TE,0.135715,0.1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,81.429,TE,0.135715,0.1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,81.429,TE,0.135715,0.1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,81.429,TE,0.135715,0.1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,81.429,TE,0.135715,0.1,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,7,PR,0.011666667,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,7,PR,0.011666667,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,7,PR,0.011666667,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2014-15,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,162.858,TE,0.27143,0.3,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,162.858,TE,0.27143,0.3,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,162.858,TE,0.27143,0.3,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,16,TE,0.026666667,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,270.001,TE,0.450001667,0.5,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,162.858,TE,0.27143,0.3,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
