year,programTitle,Program Code,PLU,Sum Credits,location,sumFTE,abo,imm
2013-14,Adult Special Education,ASE,SCH,1300,TE,1.547619048,,00
2013-14,Adult Special Education,ASE,SCH,4400,TE,5.238095238,Y,00
2013-14,Adult Special Education,ASE,SCH,1800,TE,2.142857143,N,00
2013-14,Adult Special Education,ASE,SCH,64,TE,0,,00
2013-14,Adult Special Education,ASE,SCH,211.5,TE,0,Y,00
2013-14,Adult Special Education,ASE,SCH,133,TE,0,N,00
2014-15,Adult Special Education,ASE,SCH,12,TE,0.02,,00
2014-15,Adult Special Education,ASE,SCH,19,TE,0.031666667,Y,00
2014-15,Adult Special Education,ASE,SCH,364.286,TE,0.43367381,Y,
2014-15,Adult Special Education,ASE,SCH,1013.286,TE,1.206292857,,00
2014-15,Adult Special Education,ASE,SCH,3978.715,TE,4.736565476,Y,00
2014-15,Adult Special Education,ASE,SCH,1092.858,TE,1.301021429,N,00
2014-15,Adult Special Education,ASE,SCH,31.5,TE,0,Y,
2014-15,Adult Special Education,ASE,SCH,75,TE,0,,00
2014-15,Adult Special Education,ASE,SCH,215,TE,0,Y,00
2014-15,Adult Special Education,ASE,SCH,58.5,TE,0,N,00
2016-17,Adult Special Education,ASE,SCH,12,TE,0.02,,00
2016-17,Adult Special Education,ASE,SCH,43.5,TE,0.0725,Y,00
2016-17,Adult Special Education,ASE,SCH,12,TE,0.02,N,00
2016-17,Adult Special Education,ASE,SCH,1514.286,TE,1.802721429,,00
2016-17,Adult Special Education,ASE,SCH,6301.145,TE,7.501363095,Y,00
2016-17,Adult Special Education,ASE,SCH,1346.429,TE,1.602891667,N,00
2016-17,Adult Special Education,ASE,SCH,6,TE,0,,00
2016-17,Adult Special Education,ASE,SCH,2.5,TE,0,Y,00
2016-17,Adult Special Education,ASE,SCH,0,TE,0,N,00
2012-13,Applied Business Support,ABS,SCH,30,TE,0.05,Y,00
2010-11,Applied Business Technology,ABT,Credits,271.286,SM,0.353236979,,00
2010-11,Applied Business Technology,ABT,Credits,86.143,SM,0.112165365,N,00
2010-11,Applied Business Technology,ABT,Credits,389.286,KI,0.506882813,,00
2010-11,Applied Business Technology,ABT,Credits,0,KI,0,N,00
2010-11,Applied Business Technology,ABT,Credits,351.001,HO,0.457032552,,00
2010-11,Applied Business Technology,ABT,Credits,131.143,HO,0.170759115,Y,00
2010-11,Applied Business Technology,ABT,Credits,2.5,SM,0.104166667,,00
2010-11,Applied Business Technology,ABT,Credits,7,SM,0.291666667,N,00
2010-11,Applied Business Technology,ABT,Credits,147.5,ON,6.145833333,,00
2010-11,Applied Business Technology,ABT,Credits,266,ON,11.08333333,Y,00
2010-11,Applied Business Technology,ABT,Credits,227,ON,9.458333333,N,00
2011-12,Applied Business Technology,ABT,Credits,0,TE,0,,00
2011-12,Applied Business Technology,ABT,Credits,30,TE,0.05,Y,00
2011-12,Applied Business Technology,ABT,Credits,6,TE,0.01,N,00
2011-12,Applied Business Technology,ABT,Credits,24,SM,0.04,N,00
2011-12,Applied Business Technology,ABT,Credits,30,PR,0.05,Y,00
2011-12,Applied Business Technology,ABT,Credits,6,MA,0.01,Y,00
2011-12,Applied Business Technology,ABT,Credits,2.571,SM,0.003347656,Y,00
2011-12,Applied Business Technology,ABT,Credits,0,SM,0,N,00
2011-12,Applied Business Technology,ABT,Credits,310.714,KI,0.404575521,Y,00
2011-12,Applied Business Technology,ABT,Credits,131.143,KI,0.170759115,N,00
2011-12,Applied Business Technology,ABT,Credits,144.001,HO,0.187501302,,00
2011-12,Applied Business Technology,ABT,Credits,389.286,HA,0.506882813,Y,00
2011-12,Applied Business Technology,ABT,Credits,13.5,SM,0.5625,,00
2011-12,Applied Business Technology,ABT,Credits,15.5,SM,0.645833333,Y,00
2011-12,Applied Business Technology,ABT,Credits,35,SM,1.458333333,N,00
2011-12,Applied Business Technology,ABT,Credits,11,ON,0.458333333,N,01
2011-12,Applied Business Technology,ABT,Credits,117,ON,4.875,,00
2011-12,Applied Business Technology,ABT,Credits,238.5,ON,9.9375,Y,00
2011-12,Applied Business Technology,ABT,Credits,263.5,ON,10.97916667,N,00
2012-13,Applied Business Technology,ABT,Credits,24,TE,0.04,N,00
2012-13,Applied Business Technology,ABT,Credits,51.429,HO,0.066964844,,00
