"","SCS_STUDENT","AGE","C99_BEST_PROGRAM","ACPG_DESC","SEC_LOCATION","LOC_DESC","AY","AY_HELPER","CITY"
"804",1,18,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Houston"
"805",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"806",1,19,"CE","Continuing Education","KN","Kincolith (Gingolx)","2014-2015","2013-2014","Gingolx"
"807",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"808",1,16,"CE","Continuing Education","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"809",1,19,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"810",1,18,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"811",1,19,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"812",1,17,"CE","Continuing Education","MO","Moricetown","2014-2015","2013-2014","Smithers"
"813",1,16,"CE","Continuing Education","MO","Moricetown","2014-2015","2013-2014","Moricetown"
"814",1,16,"CE","Continuing Education","GK","Gitwangak (Kitwanga)","2014-2015","2013-2014","Kitwanga"
"815",1,16,"CE","Continuing Education","MO","Moricetown","2014-2015","2013-2014","Smithers"
"816",1,18,"CE","Continuing Education","MO","Moricetown","2014-2015","2013-2014","Terrace"
"817",1,19,"CE","Continuing Education","MO","Moricetown","2014-2015","2013-2014","Morricetown"
"818",1,16,"CE","Continuing Education","MO","Moricetown","2014-2015","2013-2014","Smithers"
"819",1,19,"CE","Continuing Education","OFTE","Off-Campus Terrace","2014-2015","2013-2014","Fort St. James"
"820",1,19,"CE","Continuing Education","GK","Gitwangak (Kitwanga)","2014-2015","2013-2014","Kitwanga"
"821",1,18,"CE","Continuing Education","GK","Gitwangak (Kitwanga)","2014-2015","2013-2014","Terrace"
"822",1,18,"CE","Continuing Education","GK","Gitwangak (Kitwanga)","2014-2015","2013-2014","Kitwanga"
"823",1,18,"CE","Continuing Education","GK","Gitwangak (Kitwanga)","2014-2015","2013-2014","Kitwanga"
"824",1,19,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"825",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"826",1,17,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","New Hazelton"
"827",1,18,"WELDUP","Welding Upgrade","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"828",1,18,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"829",1,16,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"830",1,17,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","New Hazelton"
"831",1,17,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Kitwanga"
"832",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Gitsegukla"
"833",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Kispiox"
"834",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","New Hazelton"
"835",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"836",1,17,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Gitsegukla"
"837",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Kitwanga"
"838",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"839",1,17,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Gitsegukla"
"840",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","New Hazelton"
"841",1,17,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Smithers"
"842",1,18,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Gitwangak"
"843",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","South Hazelton"
"844",1,16,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","Kitwanga"
"845",1,19,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Houston"
"846",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Telkwa"
"847",1,18,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
